"";"";"";"";"sharp";""
"1";"sharp";"-0.527515949629392";"0.729881710721637";"2.80262267174988";"9"
"2";"elegant";"-0.620627470221692";"1.06230485903817";"2.75861063387523";"10"
"3";"fantasy";"-0.591387305776894";"0.889405106588012";"2.56713463153139";"14"
"4";"intricate";"-0.52461837233294";"0.702670923212096";"2.50516033203737";"17"
"5";"soldier";"-0.550237561709139";"1.04700736946233";"2.46503638930847";"19"
"6";"artstation";"-0.350319968439547";"0.586926472116245";"2.44968002775713";"20"
"7";"ukrainian";"-0.608376408846557";"1.05031707978859";"2.38136624216841";"22"
"8";"masculine";"-0.625381844609421";"1.07051978918166";"2.16140290925786";"26"
"9";"smooth";"-0.574505870172379";"0.970053691592504";"2.12881532176996";"27"
"10";"extremely";"-0.545290225781294";"0.793431178258658";"1.91668121959478";"33"
"11";"super";"-0.560179189233805";"0.932884789216093";"1.59321522575208";"44"
"12";"shoot";"-0.576061032828278";"0.832969146376944";"1.5712195842929";"51"
"13";"volumetric";"-0.580706425512369";"0.957399603534318";"1.48790457751609";"55"
"14";"winner";"-0.50622400417341";"0.952835973323964";"1.41936018130188";"62"
"15";"realistic";"-0.402221671810674";"0.469630743679051";"1.41593330740711";"63"
"16";"symmetrical";"-0.571931482312854";"0.940331444775992";"1.40323819247392";"64"
"17";"distant";"-0.625381844609421";"1.07051978918166";"1.3318618977787";"74"
"18";"huge";"-0.572282964088408";"0.676116991459166";"1.32377899535529";"76"
"19";"bright";"-0.340853516646161";"0.927487724055064";"1.27795666407055";"87"
"20";"atmosphere";"-0.491091232479469";"0.767485600024749";"1.24950392509767";"92"
"21";"medieval";"-0.217951717039912";"0.0282153053887203";"1.1693413655713";"108"
"22";"rome";"-0.17016533183037";"-0.171890999549534";"1.07584720578539";"130"
"23";"eagle";"-0.20991705886072";"-0.048189413632157";"1.04815086966412";"134"
"24";"surrealism";"0.182776081036782";"-0.406700240238412";"1.03503604339253";"139"
"25";"bass";"0.182776081036782";"-0.406700240238412";"1.03503604339253";"142"
"26";"background";"-0.116565417329975";"-0.0639364133241519";"1.00579461608048";"156"
"27";"cloud";"-0.544009135612895";"0.526208035743827";"0.998876297315797";"164"
"28";"diamond";"-0.230336786480295";"0.0100763291338055";"0.995061997570203";"170"
"29";"progresso";"-0.230336786480295";"0.0100763291338055";"0.995061997570203";"172"
"30";"midle";"-0.230336786480295";"0.0100763291338055";"0.995061997570203";"174"
"31";"documentation";"-0.230336786480295";"0.0100763291338055";"0.995061997570203";"175"
"32";"auburn";"-0.230336786480295";"0.0100763291338055";"0.995061997570203";"176"
"33";"girl";"-0.607504306788095";"0.913519143143291";"0.984555377472906";"183"
"34";"joe";"-0.0494560537480432";"-0.396001242226445";"0.981040871540448";"188"
"35";"trinitas";"-0.0873986931432694";"-0.397783870227932";"0.98099936162786";"189"
"36";"omnis";"-0.0873986931432694";"-0.397783870227932";"0.98099936162786";"190"
"37";"ruin";"-0.625381844609421";"1.07051978918165";"0.978070606684144";"194"
"38";"triumph";"-0.625381844609421";"1.07051978918165";"0.978070606684144";"195"
"39";"traditional";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"199"
"40";"revolution";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"201"
"41";"renaissance";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"202"
"42";"raphael";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"203"
"43";"neoclassicism";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"204"
"44";"infront";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"207"
"45";"government";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"208"
"46";"girlfriend";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"209"
"47";"formal";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"210"
"48";"enchant";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"211"
"49";"cubic";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"213"
"50";"canadian";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"214"
"51";"antonio";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"216"
"52";"achingly";"0.182776081036782";"-0.406700240238412";"0.975450869978585";"217"
"53";"costume";"-0.120283141080544";"0.147257270794113";"0.974899710583665";"218"
"54";"burn";"-0.532838857746001";"0.888170250423114";"0.970483517105543";"224"
"55";"watch";"-0.625381844609421";"1.07051978918166";"0.967907596418827";"228"
"56";"write";"0.0371507613214556";"0.159882168316987";"0.967649312518279";"229"
"57";"body";"-0.371674203291736";"0.321549863242995";"0.9642431935798";"232"
"58";"miss";"0.258735925823985";"-0.637576765557368";"0.963306914440313";"235"
"59";"composition";"-0.0414833382718886";"-0.290485987268305";"0.960724075434832";"239"
"60";"paper";"0.218804516006381";"-0.399401216174873";"0.958125093685567";"241"
"61";"embroided";"-0.20174916781289";"-0.0714957107385421";"0.951905525116118";"245"
"62";"custom";"-0.0873986931432695";"-0.397783870227932";"0.950258965250123";"249"
"63";"century";"0.200997111998276";"-0.441316762121176";"0.949841560017988";"250"
"64";"futuristic";"-0.0619064004719559";"-0.275722874944555";"0.949059789997579";"253"
"65";"close";"0.173681260194601";"-0.211761470542621";"0.948137347495621";"254"
"66";"school";"-0.230336786480295";"0.0100763291338053";"0.945489937515003";"259"
"67";"asian";"-0.230336786480295";"0.0100763291338053";"0.945489937515003";"260"
"68";"circuit";"0.606711090329694";"0.417874186712083";"0.942768732134228";"262"
"69";"ancient";"-0.0804887852575227";"-0.248101299484595";"0.938101173074323";"266"
"70";"shadow";"-0.0315154052555843";"-0.585711978387254";"0.938101173074323";"267"
"71";"shoulder";"-0.625381844609421";"1.07051978918166";"0.93749697323554";"268"
"72";"rotten";"-0.625381844609421";"1.07051978918166";"0.93749697323554";"269"
"73";"symbol";"-0.271839937971559";"0.28186966500904";"0.936572224627328";"270"
"74";"award";"0.174554606318462";"-0.264426355852617";"0.934150813059689";"272"
"75";"dragon";"0.00232514597790285";"-0.390022370048812";"0.932084541855305";"273"
"76";"hyperdetailed";"-0.00086503840145593";"-0.457732094060291";"0.928355568041141";"279"
"77";"common";"0.201766042233583";"-0.464419371568151";"0.927523063683124";"281"
"78";"warship";"-0.625381844609421";"1.07051978918166";"0.927387003414086";"283"
"79";"graphic";"0.216142422018541";"-0.38352284621604";"0.926040237361228";"284"
"80";"colosseum";"-0.0134995368310778";"-0.268354614831824";"0.920570153324619";"294"
"81";"gold";"-0.0621717617508499";"-0.121702769751624";"0.919965953485837";"295"
"82";"mix";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"296"
"83";"simonetti";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"297"
