"";"X";"V1"
"1";1;1
"2";2;1
"3";3;0
"4";4;10
"5";5;1
"6";6;0
"7";7;0
"8";8;5
"9";9;5
"10";10;8
"11";11;8
"12";12;2
"13";13;2
"14";14;7
"15";15;2
"16";16;0
"17";17;10
"18";18;6
"19";19;1
"20";20;1
"21";21;10
"22";22;8
"23";23;2
"24";24;0
"25";25;2
"26";26;8
"27";27;2
"28";28;0
"29";29;2
"30";30;5
"31";31;2
"32";32;0
"33";33;1
"34";34;8
"35";35;10
"36";36;2
"37";37;2
"38";38;1
"39";39;3
"40";40;10
"41";41;2
"42";42;0
"43";43;2
"44";44;0
"45";45;7
"46";46;9
"47";47;10
"48";48;8
"49";49;0
"50";50;1
"51";51;10
"52";52;4
"53";53;4
"54";54;1
"55";55;10
"56";56;7
"57";57;2
"58";58;0
"59";59;0
"60";60;0
"61";61;8
"62";62;0
"63";63;7
"64";64;8
"65";65;0
"66";66;0
"67";67;10
"68";68;0
"69";69;8
"70";70;0
"71";71;10
"72";72;10
"73";73;2
"74";74;2
"75";75;0
"76";76;7
"77";77;5
"78";78;5
"79";79;10
"80";80;2
"81";81;6
"82";82;10
"83";83;0
"84";84;7
"85";85;8
"86";86;4
"87";87;8
"88";88;0
"89";89;10
"90";90;0
"91";91;4
"92";92;0
"93";93;2
"94";94;8
"95";95;0
"96";96;7
"97";97;8
"98";98;0
"99";99;7
"100";100;0
"101";101;6
"102";102;2
"103";103;8
"104";104;0
"105";105;0
"106";106;10
"107";107;8
"108";108;4
"109";109;0
"110";110;0
"111";111;4
"112";112;10
"113";113;8
"114";114;10
"115";115;0
"116";116;0
"117";117;9
"118";118;0
"119";119;3
"120";120;2
"121";121;10
"122";122;1
"123";123;3
"124";124;8
"125";125;6
"126";126;10
"127";127;10
"128";128;2
"129";129;6
"130";130;0
"131";131;5
"132";132;2
"133";133;9
"134";134;7
"135";135;10
"136";136;4
"137";137;0
"138";138;6
"139";139;9
"140";140;7
"141";141;0
"142";142;1
"143";143;8
"144";144;1
"145";145;0
"146";146;2
"147";147;0
"148";148;5
"149";149;9
"150";150;0
"151";151;0
"152";152;5
"153";153;2
"154";154;0
"155";155;5
"156";156;10
"157";157;0
"158";158;3
"159";159;6
"160";160;2
"161";161;8
"162";162;6
"163";163;6
"164";164;0
"165";165;2
"166";166;8
"167";167;10
"168";168;6
"169";169;10
"170";170;0
"171";171;0
"172";172;5
"173";173;2
"174";174;10
"175";175;1
"176";176;1
"177";177;7
"178";178;0
"179";179;5
"180";180;6
"181";181;7
"182";182;10
"183";183;10
"184";184;8
"185";185;9
"186";186;0
"187";187;1
"188";188;2
"189";189;10
"190";190;0
"191";191;8
"192";192;9
"193";193;7
"194";194;0
"195";195;9
"196";196;0
"197";197;0
"198";198;8
"199";199;5
"200";200;0
"201";201;6
"202";202;2
"203";203;8
"204";204;1
"205";205;1
"206";206;7
"207";207;2
"208";208;10
"209";209;6
"210";210;1
"211";211;0
"212";212;10
"213";213;6
"214";214;2
"215";215;5
"216";216;2
"217";217;0
"218";218;0
"219";219;1
"220";220;6
"221";221;6
"222";222;6
"223";223;0
"224";224;10
"225";225;2
"226";226;9
"227";227;0
"228";228;10
"229";229;4
"230";230;4
"231";231;7
"232";232;8
"233";233;0
"234";234;2
"235";235;2
"236";236;0
"237";237;6
"238";238;5
"239";239;6
"240";240;10
"241";241;10
"242";242;8
"243";243;0
"244";244;3
"245";245;1
"246";246;6
"247";247;4
"248";248;0
"249";249;6
"250";250;3
"251";251;6
"252";252;2
"253";253;5
"254";254;10
"255";255;0
"256";256;6
"257";257;0
"258";258;10
"259";259;0
"260";260;4
"261";261;7
"262";262;10
"263";263;6
"264";264;3
"265";265;6
"266";266;10
"267";267;8
"268";268;6
"269";269;6
"270";270;10
"271";271;0
"272";272;10
"273";273;0
"274";274;2
"275";275;6
"276";276;6
"277";277;1
"278";278;1
"279";279;7
"280";280;0
"281";281;3
"282";282;0
"283";283;5
"284";284;0
"285";285;0
"286";286;2
"287";287;5
"288";288;7
"289";289;0
"290";290;1
"291";291;8
"292";292;0
"293";293;6
"294";294;9
"295";295;5
"296";296;5
"297";297;6
"298";298;8
"299";299;1
"300";300;6
"301";301;8
"302";302;6
"303";303;8
"304";304;10
"305";305;0
"306";306;6
"307";307;10
"308";308;4
"309";309;10
"310";310;1
"311";311;10
"312";312;0
"313";313;6
"314";314;4
"315";315;0
"316";316;6
"317";317;8
"318";318;6
"319";319;10
"320";320;0
"321";321;10
"322";322;6
"323";323;1
"324";324;8
"325";325;2
"326";326;8
"327";327;10
"328";328;0
"329";329;0
"330";330;7
"331";331;7
"332";332;8
"333";333;9
"334";334;2
"335";335;6
"336";336;0
"337";337;10
"338";338;0
"339";339;1
"340";340;2
"341";341;10
"342";342;3
"343";343;7
"344";344;2
"345";345;0
"346";346;7
