"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"classe 1";4,00927958639548;0,618337502266257;-1,24329464924163;0,100060976721947;-0,000229882040646697;0,30633250657501;-0,0586218729596392;-0,105214615767844;0,0299950774771721;0,941817657174362;0,145253321744773;-0,292061660578506;0,0235052688743934;-5,4001463425748e-05;0,0719604002269667;-0,0137708318565176;-0,0247159073812711;0,00704612711275434;0,909667862499602;0,0185973029766568;0,068037037838264;0,000414694692209618;1,96013399122193e-09;0,00290201210328577;9,09436982591614e-05;0,000270442779773853;1,97014518227346e-05;0,840632347653605;0,0199951463336665;0,0808391133258299;0,000523603918302444;2,76365291584401e-09;0,00490749178531586;0,000179718502887766;0,000578929338918987;4,70514907946055e-05;0,0522965948870266;3,60495124473594;0,67962947110673
"classe 2";0,605339447393833;0,424876404113076;3,21620755017407;0,23039046737011;-1,68980716761333;1,06235903619999;0,0262434971300367;0,446632569663487;0,288567130005337;0,155207478016966;0,108937217680454;0,824627347169851;0,0590715235123284;-0,433262213373688;0,272386125614344;0,00672876519353687;0,11451544259366;0,0739878702429634;0,0326808433838359;0,0138378670859654;0,717514265023292;0,00346475994527328;0,16691489971723;0,0550048291737012;2,87237926608919e-05;0,00768014043268841;0,00287367144534699;0,0226034204711019;0,0111352875809856;0,638064152951179;0,00327420014586748;0,176136964607157;0,0696175674895765;4,24834352231551e-05;0,0123048689194089;0,00513653122139589;0,0616845231781054;2,87161905674679;0,508662668729391
"classe 3";-0,19753214609802;0,00801126570968151;0,937031040924634;-0,306998995632797;4,30101569611206;3,20310954728555;-0,67826803509548;0,284113481334182;-0,245509227918971;-0,0358432920831119;0,00145368813360152;0,170029425358128;-0,055706652750221;0,78044290458574;0,581221807920766;-0,123075457705511;0,0515539505714554;-0,0445489969062164;0,00207596788941139;2,93491795507128e-06;0,0363329051386217;0,00367001476386012;0,645078590722942;0,298298819779289;0,0114459233407843;0,00185396626990112;0,00124087717724703;0,00124378849018754;2,04584742446921e-06;0,0279884549785424;0,00300431093534779;0,589675418846908;0,327050300939801;0,0146647164520421;0,00257308807869804;0,0019213505556919;0,031876524875358;3,71793630279922;0,44063080838841
"classe 4";0,221886670738318;-0,506910484104054;1,15676935723866;-0,698146009948694;0,277958102667019;-2,4201933468942;-7,23159402063003;-2,50020738115984;-0,454800157305559;0,0271442290081515;-0,0620122615809622;0,141511935971718;-0,0854068210231702;0,0340036576706449;-0,296071333323025;-0,88466803137293;-0,305859750368293;-0,0556374097721479;0,0015312422689895;0,00686898635561697;0,0323684672209669;0,0110948858026581;0,00157494598820975;0,0995507395282155;0,760593517974357;0,0839279518706207;0,00248926299037146;0,000725945004406015;0,00378881884017718;0,0197303525058492;0,00718677111677228;0,00113919998414306;0,0863657241171931;0,771097627984563;0,0921708004544451;0,00304987826973984;0,0147448817227114;4,86277010426153;0,348665333518516
"classe 5";-0,0749513427123806;-0,31626123334301;0,29242664011349;-0,359261869564229;0,692987929131483;-0,87570253803809;0,742465707474594;-1,09166375709731;3,08913509511379;-0,020906259265969;-0,0882150886264501;0,0815668797015293;-0,100209302698001;0,193295874234107;-0,244260658149188;0,207096764578588;-0,304498955071666;0,861655800535579;0,00103055702515864;0,0157708005466622;0,0122009645102809;0,0173294300455317;0,0577417629368014;0,0768757373168054;0,0472899720276553;0,0943765408756215;0,677384234715485;0,000405521100930469;0,00722015536549211;0,00617288933559012;0,00931701669385335;0,034666177965618;0,0553564000587126;0,0397930677703297;0,0860265302535226;0,688855967986131;0,0721862734698207;2,00224806195268;0,289394575552584
"classe 6";-0,214355084058496;-1,77019160615641;-0,472406113736392;2,22626465698399;-0,300323008143487;0,409551192041124;-0,147886081794718;-0,0984090726412306;-0,0222771359163552;-0,072887443187932;-0,601920596808747;-0,160632876648713;0,75699972044022;-0,102119230295996;0,139260234360949;-0,0502859002968963;-0,0334621673323939;-0,00757492403609178;0,00685211596428902;0,401648645594737;0,0258842298659345;0,540953014674764;0,00881576174002315;0,0136689891826952;0,0015251578593396;0,000623448355243878;2,86367629741036e-05;0,00476199169558772;0,324759310606657;0,0231287454079478;0,513658690305349;0,0093475601260512;0,0173835089410791;0,00226660405699124;0,00100367090588846;5,14327523696978e-05;0,103638485202079;2,22073079518583;0,511108244786133
"classe 7";-0,116329005762886;-1,83307530225584;-0,532217971118294;-2,24630632149475;-0,793542653456856;0,661570439931751;0,0717607953873035;0,258065466412543;-0,285559536611746;-0,0369279402836952;-0,581898683422056;-0,168949380478898;-0,713076374675852;-0,25190532255687;0,210011540449802;0,0227800310799035;0,0819213236670398;-0,0906491501950286;0,00179723250742306;0,383563674227676;0,0292586581331938;0,490472910855674;0,0548143526635021;0,0317645934021805;0,000319820122169615;0,00381822129332261;0,00419053679485772;0,00123883458502997;0,307608194548415;0,0259308264621024;0,461929020224782;0,0576471497490363;0,0400672441660821;0,000471424095071148;0,00609673155997945;0,00746501398576181;0,0915455606237403;2,35320825003144;0,506941695735422
"classe 8";0,185359347660262;-0,30492289265023;0,85575713677556;-0,0847304007315191;0,819067389078457;-1,45671676191864;1,20289716460498;-0,788195030463646;-1,60563944723708;0,0643158422312781;-0,10580190804481;0,296929945491745;-0,0293996885208591;0,284199365382469;-0,505450448643886;0,417380322253752;-0,273487298410713;-0,557123526125549;0,00812089606045868;0,0188887689704358;0,134624197799859;0,00124194488393926;0,103929716697811;0,274086778408684;0,15993187702637;0,0633892231948831;0,235786596957557;0,00369202746430291;0,00999116198983684;0,0786931622727436;0,000771461858346177;0,0720900303271321;0,228026947371661;0,155486590566107;0,0667580008832297;0,277033313776665;0,107457303489976;1,76395294197322;0,334356621539772
"classe 9";0,156745051862014;-0,323350264315634;0,260724661057884;0,0733598184706291;0,996072216194576;-2,21624275805735;-0,662113735959556;4,645254221053;0,579843412793955;0,0293819868988931;-0,0606122688851401;0,0488730488421728;0,0137513573768613;0,186714543514551;-0,41543649964359;-0,124113755965112;0,870756665321466;0,108692117267724;0,00186752390794423;0,00683083124941987;0,00401873912840694;0,000299394502331469;0,0494294353603528;0,204021545672602;0,0155828449925693;0,708060784058458;0,00988890112791546;0,000833996352034804;0,00354913820924547;0,00230749460515535;0,000182680826257979;0,0336789174880585;0,166728994170503;0,0148813272293224;0,732479449350527;0,0114129503209264;0,0339450514479686;3,11053600941675;0,328433113936676
"classe 10";-0,536314757985969;0,851125282306409;-0,474963545830263;0,0188027139096864;-0,243909093322439;0,102177432249987;-0,0509176271654924;-0,00429135128995808;-0,108039792294824;-0,466412299131434;0,740190893236261;-0,413057511686276;0,0163519964609232;-0,212118348976253;0,0888597794213781;-0,0442811002288246;-0,0037320230176891;-0,0939580482758784;0,253104773776196;0,547893879170522;0,154393317407244;0,000227693562354253;0,0343117074785433;0,00502034651187104;0,00106684228018213;6,9955530331026e-06;0,00397444426004241;0,123862127182814;0,311950740678099;0,0971448081550602;0,000152243975121995;0,0256185781422421;0,00449582096007685;0,00111643990746241;7,93025538145562e-06;0,00502650964052426;0,430624801103214;0,914205980958965;0,359904399144376
