"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"art";-0,221915878095954;0,220126262983159;0,342913217261886;-0,0170943125393724;-0,468596175722638;0,152060585096686;0,0485240632614072;0,0617512008060635;-0,187901811931838;-0,313910660951157;0,311379164477242;0,485067204758654;-0,0241807255694422;-0,6628517819562;0,215096996131485;0,0686396165119734;0,0873500374370572;-0,265796131775388;0,138516042304659;0,117142817928474;0,257240219567593;0,000601555130040111;0,404805408324377;0,035540171440344;0,00309699643369125;0,00463006632613008;0,0384267225446784;0,00116756421221709;0,00114880876894845;0,00278786968993769;6,92799076978912e-06;0,00520596807192856;0,00054819785872261;5,58236643567668e-05;9,04054963425732e-05;0,000837078054762313;0,0237084968706906;0,511343592873164;0,00619911449441387
"detail";-0,332038606788617;0,0177051197992007;-0,26366692528381;-0,192839586409532;0,0132488833136867;-0,0740223120283418;-0,0233322842296265;0,161354784640523;0,251323708680519;-0,593808490462307;0,031663337474822;-0,471534501369871;-0,344868883816632;0,0236939296815567;-0,132379417535812;-0,0417267998183487;0,288562351296869;0,449460240519488;0,477580712339997;0,00116712125406623;0,23422218300473;0,117899192499085;0,000498372040523303;0,0129705319762541;0,00110277571693495;0,0486862569714157;0,105872854196991;0,00273665163012214;7,78108374905567e-06;0,00172565375117606;0,000923070205183436;4,35713384109116e-06;0,000136008998266358;1,35131583796613e-05;0,000646258169849919;0,0015678671827213;0,024822318871327;0,412040278534719;0,00421426357543044
"flag";-0,144141823075492;0,669757085012115;0,827655238192633;0,0594846510967576;-0,517835261370812;0,301017863097561;-0,38484260680826;0,145743777506012;0,155167192920974;-0,110225103700018;0,512162553339001;0,632907108507064;0,0454878514493712;-0,395988091216455;0,230188049988165;-0,294288745199299;0,111450116603694;0,118656192669337;0,0165590686321561;0,307283430955677;0,424621443826948;0,00206402311595237;0,140076290064359;0,0394642002029257;0,0551982418682115;0,00730817614203839;0,00742512519172488;0,000336106071584574;0,00725656299150298;0,0110814163550891;5,7240863127793e-05;0,0043379004012564;0,00146582077758914;0,00239586659406853;0,000343618375301005;0,000389489849182523;0,0161769385806725;0,96060874549217;0,0149275800564545
"artstation";-0,350319968439547;0,586926472116245;-0,345362677743438;-0,0906125473694405;0,164354949585149;-0,0142753110718482;-0,0296806141554794;-0,0687312362385272;0,384415550818555;-0,397862479138776;0,66657924841827;-0,392232426204737;-0,102909728206677;0,186659835555335;-0,0162126374891555;-0,0337086201019634;-0,0780588676287581;0,436585230209512;0,206247080625485;0,49759275121736;0,155903523802332;0,0100991201284325;0,0297542566686082;0,00018715096428269;0,000692319963368674;0,00342719971092921;0,0960965969191628;0,00212199268981225;0,00595636760775898;0,00206236202461368;0,000141968102232629;0,000467067525284959;3,52358910685046e-06;1,52321028570458e-05;8,16812561880583e-05;0,00255514760378855;0,017290760581309;0,661523789463176;0,00756667412922377
"paint";-0,450880587252071;0,652737362469728;-0,322675607932367;-0,0345490342421578;0,105129383901893;0,0386141743018408;-0,0619796165701627;0,257452186434246;0,04711093967808;-0,498048459537986;0,721022033444052;-0,356431600749651;-0,0381633048069376;0,116127261152725;0,0426537104748122;-0,0684634766461279;0,284384975719918;0,0520393461094769;0,294337723437499;0,530210619982512;0,117247131947912;0,00126486306474883;0,0104880946296707;0,00117972081321775;0,00260090019616791;0,0414275355885932;0,00124341033966608;0,00309457824529233;0,00648567733491301;0,00158493212384364;1,81698029674277e-05;0,000168238982295682;2,26971798643638e-05;5,84757989680131e-05;0,00100895445645672;3,37848447501822e-05;0,0152222340086984;0,71271032833611;0,00773222528256971
"highly";-0,399760430265625;0,548263106697718;-0,126202683144824;0,0237831046924741;0,41999942191707;0,204092755960096;-0,11773340624359;-0,172762297615602;0,228954065834852;-0,449459955935043;0,616424971359541;-0,141892613952478;0,0267398981434333;0,472215125299313;0,22946623566403;-0,132370408815013;-0,194240672149443;0,257418384988491;0,262410932345908;0,424237433974839;0,0203407328077992;0,000679779786493578;0,18984764231291;0,0373766506123799;0,0106435082106219;0,0211569634999879;0,0333063564490446;0,00222073836961988;0,00417710924745138;0,000221327289436387;7,86022329633254e-06;0,00245129271112741;0,000578832581694676;0,000192618149770772;0,000414758916255679;0,000728441213361896;0,0138962554365121;0,669242203343514;0,0062239261273392
"digital";-0,518817659188682;0,630282511417643;-0,477467917832803;0,0234448347798757;-0,300383983637231;0,103756597307578;-0,0932327091271614;-0,0384558899184963;-0,149344507912203;-0,511597770327498;0,621511472878401;-0,470823453750906;0,0231185754506459;-0,296203827200513;0,102312716036561;-0,0919352787367276;-0,0379207361002866;-0,147266223316338;0,310576282181843;0,393965258928857;0,204585231597718;0,000464175244465372;0,0682366721272784;0,00678786368633817;0,00469006065902984;0,000736609976764007;0,00995784559766828;0,00398318245531985;0,0058785635054366;0,00337356507394327;8,13382929467128e-06;0,00133522435544661;0,00015930600319679;0,000128628530618541;2,1883986208187e-05;0,000330049601683838;0,0147979208655988;0,798371610072201;0,00943215373648186
"blue";-0,35405762973648;0,606011397786468;0,0736572270420127;-0,0518390022416515;0,396879291271766;-0,0396776100824301;0,337601432191726;-0,301085711606161;-0,373971775214809;-0,353300787794573;0,604715973526129;0,0734997756158382;-0,0517281899675246;0,396030912735954;-0,0395927942870824;0,336879767405909;-0,300442103686111;-0,373172364325732;0,179634559009661;0,452326661480993;0,0060467193056804;0,00281840940605119;0,147939572751263;0,00123280921309458;0,0763754183795679;0,056078365484892;0,0775474849687905;0,00188826417044609;0,00553192676600078;8,17232383116201e-05;4,04788443602645e-05;0,00237263927032289;2,37140563639734e-05;0,00171681460024849;0,00136551076844608;0,0021066504921331;0,0150631165800361;0,716396557370806;0,00773075335659376
"sharp";-0,527515949629392;0,729881710721637;-0,467199181728537;0,143237534370644;-0,202755079857374;-0,0239841371237308;0,0780591306057706;-0,172523698232354;0,136131136918102;-0,492797565853157;0,68184465447359;-0,436450537061792;0,133810377347363;-0,189410784428933;-0,022405624705692;0,0729216805333806;-0,161169076689756;0,127171686386344;0,286564680332215;0,471525364278034;0,174824671127725;0,0154637200684026;0,0277472831067745;0,000323714797543476;0,00293428271867444;0,0132318956533081;0,00738438791731758;0,00392599122266704;0,00751593640064818;0,00307951469494423;0,000289462165757223;0,000579991490427499;8,11570646704141e-06;8,5965769262069e-05;0,000419928791565206;0,000261452667480196;0,0141084120080619;0,845081788973414;0,0100757090906173
"concept";-0,481318416703621;0,91440185334042;-0,188980767228213;0,0484369225219134;-0,433306632077875;0,156131863865506;-0,0171381433508372;0,0881034213707963;-0,102479184565972;-0,416332429827566;0,790942403673836;-0,163465222356632;0,0418971328482018;-0,374803034192778;0,13505146697235;-0,0148242091230447;0,0762079950038813;-0,0886427912094014;0,206155059375604;0,639516655044864;0,0247178877733557;0,00152802675167172;0,109507841200648;0,0118542753598904;0,000122224887352198;0,00298186285068983;0,00361616675591986;0,00308414776613865;0,0111312622306933;0,000475450637844656;3,12336905331417e-05;0,00249954460528643;0,000324528847323822;3,91018910236425e-06;0,000103336980331349;0,000139811063996814;0,0133128248647502;0,9090964446249;0,0110024685877288
