"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"169";"1523";"11.1";"****";""
"103";"125";" 82.40";"701.809";"propaganda";"1.209012e-154"
"103";"151";" 68.21";"554.273";"poster";"1.480715e-122"
" 75";" 86";" 87.21";"535.243";"soviet";"2.042943e-118"
" 55";" 70";" 78.57";"338.619";"viktor";" 1.275324e-75"
" 26";" 26";"100.00";"211.926";"socialist";" 5.221130e-48"
" 25";" 25";"100.00";"203.639";"alexander";" 3.356196e-46"
" 22";" 22";"100.00";"178.844";"pustoviyt";" 8.667093e-41"
" 22";" 22";"100.00";"178.844";"havrylo";" 8.667093e-41"
" 22";" 22";"100.00";"178.844";"deni";" 8.667093e-41"
" 33";" 49";" 67.35";"162.384";"orban";" 3.409546e-37"
" 22";" 24";" 91.67";"160.455";"zelensky";" 9.001557e-37"
" 26";" 35";" 74.29";"144.992";"realism";" 2.155924e-33"
" 28";" 52";" 53.85";" 99.736";"union";" 1.741703e-23"
" 11";" 11";"100.00";" 88.771";"sith";" 4.431914e-21"
" 11";" 11";"100.00";" 88.771";"juncker";" 4.431914e-21"
" 11";" 11";"100.00";" 88.771";"claude";" 4.431914e-21"
" 14";" 17";" 82.35";" 88.484";"era";" 5.123951e-21"
" 10";" 10";"100.00";" 80.648";"computer";" 2.697443e-19"
" 27";" 61";" 44.26";" 70.853";"european";" 3.848942e-17"
" 11";" 14";" 78.57";" 65.211";"jean";" 6.730882e-16"
"  8";"  8";"100.00";" 64.433";"seethe";" 9.986485e-16"
"  8";"  8";"100.00";" 64.433";"chan";" 9.986485e-16"
" 13";" 21";" 61.90";" 55.720";"russian";" 8.355873e-14"
"  8";"  9";" 88.89";" 55.537";"yell";" 9.170114e-14"
"  6";"  6";"100.00";" 48.261";"developer";" 3.730736e-12"
"  6";"  6";"100.00";" 48.261";"cold";" 3.730736e-12"
"  6";"  6";"100.00";" 48.261";"box";" 3.730736e-12"
"  6";"  6";"100.00";" 48.261";"baltics";" 3.730736e-12"
"  7";"  9";" 77.78";" 40.805";"joker";" 1.681605e-10"
"  5";"  5";"100.00";" 40.191";"phrase";" 2.302928e-10"
"  5";"  5";"100.00";" 40.191";"avoid";" 2.302928e-10"
"  6";"  8";" 75.00";" 33.291";"apocalyptic";" 7.936819e-09"
"  4";"  4";"100.00";" 32.132";"valorant";" 1.440653e-08"
"  4";"  4";"100.00";" 32.132";"stockholm";" 1.440653e-08"
"  4";"  4";"100.00";" 32.132";"shrimp";" 1.440653e-08"
"  4";"  4";"100.00";" 32.132";"fortnite";" 1.440653e-08"
"  7";" 11";" 63.64";" 31.004";"lord";" 2.575440e-08"
"  5";"  7";" 71.43";" 25.947";"clown";" 3.508963e-07"
"  5";"  7";" 71.43";" 25.947";"capitalism";" 3.508963e-07"
"  6";" 10";" 60.00";" 24.403";"wlop";" 7.816578e-07"
"  3";"  3";"100.00";" 24.083";"singaporean";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"sad";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"pro";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"praise";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"munich";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"iphone";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"hanma";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"embrace";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"baki";" 9.227411e-07"
"  3";"  3";"100.00";" 24.083";"ak";" 9.227411e-07"
"  6";" 11";" 54.55";" 21.203";"palette";" 4.131575e-06"
"  3";"  4";" 75.00";" 16.601";"covid";" 4.611616e-05"
"  3";"  4";" 75.00";" 16.601";"advertise";" 4.611616e-05"
"  6";" 14";" 42.86";" 14.448";"kiss";" 1.440741e-04"
"  6";" 14";" 42.86";" 14.448";"post";" 1.440741e-04"
"  8";" 22";" 36.36";" 14.446";"war";" 1.442357e-04"
"  3";"  5";" 60.00";" 12.161";"1940s";" 4.879714e-04"
" 10";" 35";" 28.57";" 11.089";"man";" 8.684502e-04"
" 11";" 41";" 26.83";" 10.572";"communist";" 1.148406e-03"
"  2";"  3";" 66.67";"  9.409";"gun";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"baltic";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"advertisement";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"soup";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"russia";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"musk";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"male";" 2.158933e-03"
"  2";"  3";" 66.67";"  9.409";"elon";" 2.158933e-03"
"  3";"  6";" 50.00";"  9.241";"party";" 2.366063e-03"
"  3";"  6";" 50.00";"  9.241";"text";" 2.366063e-03"
"  6";" 20";" 30.00";"  7.341";"angry";" 6.740336e-03"
"  3";"  7";" 42.86";"  7.191";"usa";" 7.328237e-03"
"  2";"  4";" 50.00";"  6.153";"money";" 1.312035e-02"
"  2";"  5";" 40.00";"  4.248";"king";" 3.929470e-02"
"  2";"  6";" 33.33";"  3.019";"moon";" 8.227938e-02"
"  2";"  6";" 33.33";"  3.019";"fascist";" 8.227938e-02"
"*****";"*";"*";"*";"*";"*"
"21";"45";"46.67";"59.471";"9";"1.241226e-14"
"21";"51";"41.18";"48.396";"1";"3.482487e-12"
"21";"59";"35.59";"37.335";"0";"9.946425e-10"
"15";"36";"41.67";"34.929";"s";"3.420236e-09"
" 6";"11";"54.55";"21.203";"about";"4.131575e-06"
" 6";"11";"54.55";"21.203";"1950";"4.131575e-06"
"16";"61";"26.23";"14.751";"4";"1.226720e-04"
" 3";" 5";"60.00";"12.161";"us";"4.879714e-04"
" 8";"27";"29.63";" 9.570";"over";"1.977563e-03"
" 8";"34";"23.53";" 5.449";"his";"1.957868e-02"
" 4";"13";"30.77";" 5.144";"7";"2.332872e-02"
" 4";"13";"30.77";" 5.144";"6";"2.332872e-02"
" 2";" 5";"40.00";" 4.248";"x";"3.929470e-02"
" 2";" 5";"40.00";" 4.248";"t";"3.929470e-02"
"10";"51";"19.61";" 3.875";"at";"4.901574e-02"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"132";"1523";"8.67";"****";""
"42";" 44";" 95.45";"431.119";"svg";"9.276658e-96"
"35";" 35";"100.00";"377.501";"vexillology";"4.355288e-84"
"35";" 38";" 92.11";"342.756";"bolt";"1.601932e-76"
"37";" 43";" 86.05";"334.700";"lightning";"9.100456e-75"
"33";" 41";" 80.49";"274.558";"country";"1.152433e-61"
"46";" 81";" 56.79";"250.279";"vector";"2.257613e-56"
"22";" 23";" 95.65";"223.216";"future";"1.798826e-50"
"18";" 18";"100.00";"191.950";"reddit";"1.192899e-43"
"18";" 18";"100.00";"191.950";"legacy";"1.192899e-43"
"37";" 67";" 55.22";"191.901";"design";"1.222736e-43"
"15";" 15";"100.00";"159.640";"sickle";"1.355814e-36"
"15";" 15";"100.00";"159.640";"hammer";"1.355814e-36"
"17";" 20";" 85.00";"149.174";"pattern";"2.627282e-34"
"25";" 41";" 60.98";"145.639";"communist";"1.556579e-33"
"13";" 13";"100.00";"138.172";"unique";"6.683602e-32"
"13";" 13";"100.00";"138.172";"select";"6.683602e-32"
"13";" 13";"100.00";"138.172";"plasma";"6.683602e-32"
"13";" 13";"100.00";"138.172";"cnc";"6.683602e-32"
"15";" 17";" 88.24";"137.500";"laser";"9.376037e-32"
"76";"305";" 24.92";"127.235";"flag";"1.650051e-29"
"13";" 14";" 92.86";"126.520";"panel";"2.366164e-29"
" 9";"  9";"100.00";" 95.405";"stencil";"1.551854e-22"
"21";" 44";" 47.73";" 87.328";"win";"9.195713e-21"
"10";" 12";" 83.33";" 85.185";"theme";"2.716954e-20"
" 7";"  7";"100.00";" 74.106";"vexillogy";"7.404213e-18"
" 7";"  7";"100.00";" 74.106";"tricolor";"7.404213e-18"
" 7";"  7";"100.00";" 74.106";"thunder";"7.404213e-18"
" 8";"  9";" 88.89";" 73.604";"cyan";"9.548329e-18"
"15";" 29";" 51.72";" 69.236";"icon";"8.734267e-17"
" 7";"  8";" 87.50";" 63.138";"circuit";"1.927180e-15"
"17";" 40";" 42.50";" 59.401";"award";"1.285852e-14"
" 7";"  9";" 77.78";" 54.627";"sci";"1.457368e-13"
" 7";"  9";" 77.78";" 54.627";"fi";"1.457368e-13"
" 7";"  9";" 77.78";" 54.627";"bay";"1.457368e-13"
" 5";"  5";"100.00";" 52.863";"luxury";"3.576541e-13"
" 8";" 12";" 66.67";" 51.400";"fly";"7.533062e-13"
"20";" 61";" 32.79";" 46.701";"european";"8.267933e-12"
"18";" 52";" 34.62";" 45.794";"union";"1.313801e-11"
" 5";"  6";" 83.33";" 42.424";"pixel";"7.347860e-11"
" 5";"  6";" 83.33";" 42.424";"hole";"7.347860e-11"
" 4";"  4";"100.00";" 42.263";"zealand";"7.980773e-11"
" 4";"  4";"100.00";" 42.263";"odd";"7.980773e-11"
" 4";"  4";"100.00";" 42.263";"mismatch";"7.980773e-11"
" 4";"  4";"100.00";" 42.263";"hazard";"7.980773e-11"
"18";" 58";" 31.03";" 38.108";"8k";"6.692601e-10"
" 7";" 12";" 58.33";" 37.691";"deco";"8.288557e-10"
" 9";" 19";" 47.37";" 36.405";"middle";"1.603269e-09"
" 4";"  5";" 80.00";" 32.246";"bizarre";"1.358326e-08"
" 4";"  5";" 80.00";" 32.246";"unusual";"1.358326e-08"
" 4";"  5";" 80.00";" 32.246";"electric";"1.358326e-08"
"67";"447";" 14.99";" 31.942";"art";"1.588397e-08"
" 3";"  3";"100.00";" 31.676";"reference";"1.821565e-08"
" 3";"  3";"100.00";" 31.676";"export";"1.821565e-08"
" 3";"  3";"100.00";" 31.676";"commonwealth";"1.821565e-08"
"10";" 25";" 40.00";" 31.523";"minimalist";"1.970892e-08"
" 6";" 11";" 54.55";" 29.462";"national";"5.703804e-08"
" 5";" 10";" 50.00";" 21.725";"contest";"3.147327e-06"
"17";" 76";" 22.37";" 18.970";"white";"1.327870e-05"
" 9";" 29";" 31.03";" 18.684";"europe";"1.542495e-05"
"18";" 88";" 20.45";" 16.393";"bright";"5.146468e-05"
" 7";" 21";" 33.33";" 16.366";"city";"5.220210e-05"
