"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"art";1;0;1;1;1;1;1;1;1;0
"detail";1;1;1;1;0,004;1;0,006;1;0,058;0
"flag";1;0;1;1;1;1;1;1;1;0
"artstation";1;1;1;1;0,001;1;1;1;1;0
"paint";1;1;1;1;1;1;1;1;0,261;0
"highly";1;1;0,001;1;0,044;1;1;1;1;0
"digital";1;1;1;1;1;1;1;1;1;0
"blue";1;1;0,044;1;1;1;1;0,156;1;0
"sharp";1;1;1;1;0,934;1;1;1;1;0
"concept";1;1;1;1;1;1;1;1;1;0
"illustration";1;1;1;1;1;1;1;1;1;0
"focus";1;1;1;1;1;1;1;1;1;0
"light";1;1;1;1;0,175;1;0;1;1;0
"merkel";1;1;1;1;1;0;1;1;1;1
"angela";1;1;1;1;1;0;1;1;1;1
"intricate";1;1;1;1;1;1;1;1;1;0
"yellow";1;1;1;1;1;1;1;1;1;0
"rutkowski";1;1;1;1;1;1;1;1;1;0
"greg";1;1;1;1;1;1;1;1;1;0
"realistic";1;1;1;1;0,14;1;1;1;0,694;0
"artgerm";1;1;1;1;1;1;1;1;1;0
"mucha";1;1;1;1;1;1;1;1;1;0
"fantasy";1;1;1;1;1;1;1;1;1;0
"alphonse";1;1;1;1;1;1;1;1;1;0
"soldier";1;1;1;1;1;1;1;1;1;0
"elegant";1;1;1;1;1;1;1;1;1;0
"matte";1;1;1;1;1;1;1;1;1;0
"poster";0;1;1;1;1;1;1;1;1;1
"ukrainian";1;1;1;1;1;1;1;1;1;0
"hyper";1;1;1;1;0,468;1;0;1;0,919;0
"smooth";1;1;1;1;1;1;1;1;1;0
"extremely";1;1;1;1;1;1;1;1;1;0
"propaganda";0;1;1;1;1;1;1;1;1;1
"figure";1;1;1;1;1;1;1;1;1;0
"logo";1;1;1;1;0,008;1;1;0;1;1
"masculine";1;1;1;1;1;1;1;1;1;0
"trend";1;1;0;1;0,006;1;1;1;0,003;0
"style";1;1;1;0,013;1;1;0,002;0;0,03;1
"stand";1;1;1;1;1;1;1;1;1;0
"portrait";1;1;1;1;1;0;1;1;0,19;0
"background";1;1;1;1;1;1;1;0;1;0,001
"super";1;1;1;1;1;1;1;1;1;0
"render";1;1;0,001;1;0;1;0;1;1;1
"red";1;1;1;1;0,022;1;1;0,452;1;0
"cinematic";1;1;1;1;0,002;1;0;1;1;0,001
"face";1;1;1;1;0,653;0,002;0;1;1;0,023
"soviet";0;1;1;1;1;1;1;1;1;1
"color";1;0,141;1;1;1;1;1;0;1;1
