"";"V1"
"1";1
"2";1
"3";0
"4";10
"5";1
"6";0
"7";0
"8";5
"9";5
"10";8
"11";8
"12";2
"13";2
"14";7
"15";2
"16";0
"17";10
"18";6
"19";1
"20";1
"21";10
"22";8
"23";2
"24";0
"25";2
"26";8
"27";2
"28";0
"29";2
"30";5
"31";2
"32";0
"33";1
"34";8
"35";10
"36";2
"37";2
"38";1
"39";3
"40";10
"41";2
"42";0
"43";2
"44";0
"45";7
"46";9
"47";10
"48";8
"49";0
"50";1
"51";10
"52";4
"53";4
"54";1
"55";10
"56";7
"57";2
"58";0
"59";0
"60";0
"61";8
"62";0
"63";7
"64";8
"65";0
"66";0
"67";10
"68";0
"69";8
"70";0
"71";10
"72";10
"73";2
"74";2
"75";0
"76";7
"77";5
"78";5
"79";10
"80";2
"81";6
"82";10
"83";0
"84";7
"85";8
"86";4
"87";8
"88";0
"89";10
"90";0
"91";4
"92";0
"93";2
"94";8
"95";0
"96";7
"97";8
"98";0
"99";7
"100";0
"101";6
"102";2
"103";8
"104";0
"105";0
"106";10
"107";8
"108";4
"109";0
"110";0
"111";4
"112";10
"113";8
"114";10
"115";0
"116";0
"117";9
"118";0
"119";3
"120";2
"121";10
"122";1
"123";3
"124";8
"125";6
"126";10
"127";10
"128";2
"129";6
"130";0
"131";5
"132";2
"133";9
"134";7
"135";10
"136";4
"137";0
"138";6
"139";9
"140";7
"141";0
"142";1
"143";8
"144";1
"145";0
"146";2
"147";0
"148";5
"149";9
"150";0
"151";0
"152";5
"153";2
"154";0
"155";5
"156";10
"157";0
"158";3
"159";6
"160";2
"161";8
"162";6
"163";6
"164";0
"165";2
"166";8
"167";10
"168";6
"169";10
"170";0
"171";0
"172";5
"173";2
"174";10
"175";1
"176";1
"177";7
"178";0
"179";5
"180";6
"181";7
"182";10
"183";10
"184";8
"185";9
"186";0
"187";1
"188";2
"189";10
"190";0
"191";8
"192";9
"193";7
"194";0
"195";9
"196";0
"197";0
"198";8
"199";5
"200";0
"201";6
"202";2
"203";8
"204";1
"205";1
"206";7
"207";2
"208";10
"209";6
"210";1
"211";0
"212";10
"213";6
"214";2
"215";5
"216";2
"217";0
"218";0
"219";1
"220";6
"221";6
"222";6
"223";0
"224";10
"225";2
"226";9
"227";0
"228";10
"229";4
"230";4
"231";7
"232";8
"233";0
"234";2
"235";2
"236";0
"237";6
"238";5
"239";6
"240";10
"241";10
"242";8
"243";0
"244";3
"245";1
"246";6
"247";4
"248";0
"249";6
"250";3
"251";6
"252";2
"253";5
"254";10
"255";0
"256";6
"257";0
"258";10
"259";0
"260";4
"261";7
"262";10
"263";6
"264";3
"265";6
"266";10
"267";8
"268";6
"269";6
"270";10
"271";0
"272";10
"273";0
"274";2
"275";6
"276";6
"277";1
"278";1
"279";7
"280";0
"281";3
"282";0
"283";5
"284";0
"285";0
"286";2
"287";5
"288";7
"289";0
"290";1
"291";8
"292";0
"293";6
"294";9
"295";5
"296";5
"297";6
"298";8
"299";1
"300";6
"301";8
"302";6
"303";8
"304";10
"305";0
"306";6
"307";10
"308";4
"309";10
"310";1
"311";10
"312";0
"313";6
"314";4
"315";0
"316";6
"317";8
"318";6
"319";10
"320";0
"321";10
"322";6
"323";1
"324";8
"325";2
"326";8
"327";10
"328";0
"329";0
"330";7
"331";7
"332";8
"333";9
"334";2
"335";6
"336";0
"337";10
"338";0
"339";1
"340";2
"341";10
"342";3
"343";7
"344";2
"345";0
"346";7
"347";6
"348";0
"349";2
"350";0
"351";0
"352";0
"353";0
"354";3
"355";10
"356";10
"357";6
"358";2
"359";6
"360";6
"361";1
"362";0
"363";1
"364";0
"365";8
"366";7
"367";10
"368";10
"369";8
"370";6
"371";7
"372";3
"373";6
"374";2
"375";1
"376";0
"377";6
"378";5
"379";1
"380";6
"381";8
"382";0
"383";10
"384";0
"385";0
"386";0
"387";10
"388";0
"389";1
"390";7
"391";0
"392";0
"393";7
"394";0
"395";10
"396";0
"397";6
"398";0
"399";0
"400";0
"401";0
"402";10
"403";6
"404";0
"405";10
"406";5
"407";10
"408";6
"409";10
"410";10
"411";5
"412";8
"413";1
"414";10
"415";0
"416";0
"417";7
"418";4
"419";7
"420";0
"421";0
"422";10
"423";10
"424";5
"425";5
"426";5
"427";2
"428";7
"429";3
"430";0
"431";2
"432";10
"433";6
"434";1
"435";0
"436";7
"437";1
"438";10
"439";10
"440";8
"441";3
"442";5
"443";6
"444";8
"445";7
"446";8
"447";0
"448";7
"449";0
"450";2
"451";0
"452";0
"453";0
"454";9
"455";2
"456";0
"457";6
"458";6
"459";4
"460";3
"461";6
"462";6
"463";0
"464";10
"465";8
"466";0
"467";8
"468";9
"469";6
"470";1
"471";10
"472";7
"473";0
"474";8
"475";6
"476";10
"477";0
"478";0
"479";6
"480";7
"481";6
