"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"european";-0,360751471408386;0,301871163905669;0,015706690688911;-0,766490908354379;0,641387550616852;0,033372103976136;0,638486880690032;0,361026252990849;0,000486866319114355;0,00456934180927115;0,0031994894527173;8,66177317909281e-06;0,035110533159948;0,396724735376732;0,00552606491913254
"union";-0,227361368931206;0,347790673603748;0,0155991093137524;-0,546796357738623;0,836424738626258;0,0375153272379674;0,345845987463087;0,653499144812263;0,000654867724659482;0,00174775421864638;0,00408961920518788;8,2270968737871e-06;0,0338101430429129;0,339728875647394;0,0039022216289528
"eu";0,447047776567546;-0,574302770170641;0,396792472173591;0,539309107241812;-0,692826875564228;0,478682156907849;0,377414746160957;0,502982156118048;0,119603097721008;0,003234126864298;0,0053374152932344;0,00254786270611856;0,016182632567548;0,639442744362553;0,00661686845999225
"flag";0,344971614436691;-0,0302941982472065;0,536048321556571;0,540557180897521;-0,0474698372757444;0,839966992642651;0,505686342996841;0,00314914892058714;0,491164508082572;0,00208057436596069;1,6044842095126e-05;0,00502370815897668;0,0174830226845832;0,426284857331766;0,0031769935457931
"game";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"paint";0,0675684307919728;0,363249651253695;-0,0886830866907676;0,177823672200865;0,955984712897749;-0,233392309879327;0,0399489305235128;0,932368672906885;0,0276823965696042;0,000127313989027611;0,00367958527138198;0,000219315871109005;0,027886143620864;0,297062896538528;0,00246085079446221
"detail";0,0496956744560441;0,456129324951049;-0,293864785270928;0,0912069684936461;0,837138713282492;-0,539332980283918;0,0120343545253145;0,818693573923218;0,169272071551469;6,88692951178638e-05;0,00580182263957488;0,00240815009685153;0,027886143620864;0,398074488190074;0,00441893029078505
"keyboard";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"art";0,0624242566229681;1,46878132317222;0,268926754093282;0,0417692625124253;0,98278963947414;0,179944028107237;0,00219525886552259;0,98141577361712;0,01638896751736;5,91190175650438e-05;0,0327291504705176;0,00109720674787611;0,0151712180320763;1,1707594350647;0,0207948495525597
"artstation";0,270170561307935;0,359646277149496;-0,20456054956353;0,54673977839748;0,727810331807675;-0,413965862882287;0,375715103078696;0,537642399931315;0,0866424969899904;0,00177180728350971;0,00313972470801021;0,00101574383724017;0,0242739488513221;0,38731637225449;0,00364143148856402
