"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;7;9;10;10;10;10;19
"2";3;5;7;9;10;10;10;10;19
"3";3;5;7;9;10;10;10;10;19
"4";3;5;7;9;10;10;10;10;19
"5";3;5;7;9;10;10;10;10;18
"6";3;5;7;9;10;10;10;10;19
"7";3;5;7;9;11;12;15;16;16
"8";3;5;7;9;11;12;15;16;16
"9";3;5;7;9;11;12;15;16;16
"10";3;5;7;9;11;12;15;16;16
"11";3;5;7;9;11;12;14;14;14
"12";3;5;7;9;10;10;10;10;19
"13";3;5;7;9;11;12;15;16;16
"14";3;5;7;9;11;12;14;14;14
"15";2;2;2;2;2;2;2;2;2
"16";3;5;7;9;11;12;14;14;14
"17";3;5;7;9;10;10;10;10;19
"18";3;5;7;9;11;13;13;13;13
"19";2;2;2;2;2;2;2;2;2
"20";2;2;2;2;2;2;2;2;2
"21";3;5;7;9;11;12;15;16;16
"22";3;5;7;9;10;10;10;10;19
"23";3;5;7;9;11;12;15;16;16
"24";3;5;7;8;8;8;8;8;8
"25";3;5;7;9;10;10;10;10;19
"26";2;2;2;2;2;2;2;2;2
"27";3;5;7;9;11;12;15;17;17
"28";3;5;7;9;11;12;14;14;14
"29";3;5;7;9;11;12;14;14;14
"30";3;5;7;9;11;12;15;16;16
"31";3;5;7;9;11;12;15;17;17
"32";3;5;7;9;11;12;15;16;16
"33";3;5;7;9;11;12;14;14;14
"34";3;5;7;9;11;12;15;16;16
"35";3;5;7;9;10;10;10;10;19
"36";3;5;7;9;11;12;15;16;16
"37";3;5;7;9;10;10;10;10;19
"38";3;5;7;9;10;10;10;10;19
"39";2;2;2;2;2;2;2;2;2
"40";3;5;7;9;11;12;15;17;17
"41";3;5;7;9;10;10;10;10;19
"42";3;5;7;9;11;12;15;16;16
"43";3;5;7;9;11;12;14;14;14
"44";3;5;7;9;11;12;14;14;14
"45";3;5;7;9;11;12;14;14;14
"46";3;5;7;9;11;12;15;16;16
"47";3;5;7;9;11;12;14;14;14
"48";3;5;7;9;11;12;15;16;16
"49";3;5;7;9;10;10;10;10;19
"50";2;2;2;2;2;2;2;2;2
"51";3;5;7;9;11;12;15;16;16
"52";3;5;7;9;10;10;10;10;19
"53";3;5;7;9;10;10;10;10;19
"54";3;5;7;9;11;12;14;14;14
"55";3;5;7;9;11;12;14;14;14
"56";2;2;2;2;2;2;2;2;2
"57";3;5;7;9;10;10;10;10;19
"58";3;5;7;9;11;12;15;16;16
"59";2;2;2;2;2;2;2;2;2
"60";3;5;7;8;8;8;8;8;8
"61";3;5;7;9;11;12;15;16;16
"62";3;5;7;9;11;12;14;14;14
"63";3;5;7;9;11;12;15;16;16
"64";2;2;2;2;2;2;2;2;2
"65";3;5;7;9;11;12;15;16;16
"66";3;5;7;9;11;12;14;14;14
"67";3;5;7;9;11;12;15;16;16
"68";3;5;7;9;11;12;14;14;14
"69";3;5;7;9;10;10;10;10;19
"70";3;5;7;9;10;10;10;10;19
"71";3;5;7;9;10;10;10;10;19
"72";3;5;7;9;10;10;10;10;19
"73";2;2;2;2;2;2;2;2;2
"74";2;2;2;2;2;2;2;2;2
"75";3;5;7;9;10;10;10;10;19
"76";2;2;2;2;2;2;2;2;2
"77";3;5;7;9;11;12;15;16;16
"78";3;5;6;6;6;6;6;6;6
"79";3;5;7;9;11;12;15;16;16
"80";3;5;7;9;11;12;14;14;14
"81";3;5;6;6;6;6;6;6;6
"82";3;5;6;6;6;6;6;6;6
"83";3;5;7;9;11;12;15;17;17
"84";3;5;7;9;10;10;10;10;19
"85";3;5;7;9;11;13;13;13;13
"86";3;5;7;9;11;12;15;16;16
"87";2;2;2;2;2;2;2;2;2
"88";3;5;7;9;10;10;10;10;19
"89";3;5;7;9;11;12;15;16;16
"90";3;5;7;9;11;12;15;16;16
"91";3;5;7;9;10;10;10;10;19
"92";3;5;7;9;10;10;10;10;19
"93";3;5;7;9;10;10;10;10;19
"94";3;5;7;9;11;12;15;16;16
"95";2;2;2;2;2;2;2;2;2
"96";3;5;7;9;10;10;10;10;19
"97";3;5;7;9;11;12;14;14;14
"98";3;4;4;4;4;4;4;4;4
"99";2;2;2;2;2;2;2;2;2
"100";3;5;7;9;11;12;14;14;14
"101";3;5;7;9;11;12;15;16;16
"102";3;5;7;9;11;12;15;16;16
"103";3;5;7;9;11;12;14;14;14
"104";3;5;7;9;11;13;13;13;13
"105";3;5;7;9;11;12;14;14;14
"106";3;5;7;9;11;12;15;16;16
"107";3;5;7;9;11;12;14;14;14
"108";3;5;7;9;11;12;15;16;16
