"";"classe 1";"classe 2";"classe 3";"classe 4"
"european";1;1;1;1
"union";1;0,077;0,047;0,043
"eu";1;0;0;1
"flag";1;0;0;1
"game";1;0;0;1
"paint";1;0,84;0;0,145
"detail";1;1;0;0
"keyboard";1;0;0;1
"art";1;0;1;0
"artstation";1;1;0;0,144
"mouse";1;0;0;1
"computer";1;0;0;1
"lead";1;0;0;1
"oil";1;0;0;1
"ussr";1;1;0;1
"trend";1;0,029;0;1
"sit";1;0;0;1
"influencer";1;0;0;1
"gloom";1;0;0;1
"extremely";1;0;0;1
"dark";1;0;0;1
"chair";1;0;0;1
"play";1;0,002;0;1
"highly";1;0;1;0
"cinematic";1;1;0;1
"hybrid";1;0;0;1
"sharp";1;0;1;0
"focus";1;0;1;0
"illustration";1;0;1;0
"concept";1;0;1;0
"win";1;1;0;1
"tim";1;1;0;1
"studio";1;1;0;1
"rhads";1;1;0;1
"render";1;1;0;1
"photograph";1;1;0;1
"pennington";1;1;0;1
"octane";1;1;0;1
"masterpiece";1;1;0;1
"hildebrandt";1;1;0;1
"ghibli";1;1;0;1
"composition";1;1;0;1
"bruce";1;1;0;1
"beautiful";1;1;0;1
"award";1;1;0;1
"rutkowski";1;0;1;0
"greg";1;0;1;0
"artgerm";1;0;1;0
"shirt";1;0;0;1
"blue";1;0;0;1
"communism";1;1;0;1
"armor";1;1;0;1
"propaganda";1;0;1;1
"poster";1;0;1;1
"suit";1;1;0;1
"digital";1;1;1;0
"smooth";1;1;1;0
"villeneuve";1;0;1;1
"style";1;0;1;1
"room";1;0;1;1
"open";1;0;1;1
"magali";1;0;1;1
"american";1;0;1;1
"light";0,094;1;1;0
"europa";1;1;0;1
"commission";1;1;0;1
"mucha";1;1;1;0
"alphonse";1;1;1;0
"symmetrical";1;1;1;0
"surprise";1;1;1;0
"realistic";1;1;1;0
"quality";0;1;1;1
"high";0;1;1;1
"guard";1;1;1;0
"discover";1;1;1;0
"budapest";1;1;1;0
"border";1;1;1;0
"army";1;1;1;0
"unreal";1;1;1;0
"portrait";0;1;1;1
"white";0;1;1;1
"tree";1;1;1;0
"suite";1;1;0;1
"street";1;1;1;0
"simplistic";0;1;1;1
"professionally";0;1;1;1
"political";0;1;1;1
"nose";1;0;1;1
"maxence";1;1;1;0
"mapporn";0;1;1;1
"map";0;1;1;1
"magazine";0;1;1;0,061
"goddess";1;1;1;0
"fight";1;1;1;0
"face";0;1;1;1
"era";1;1;0;1
"engine";1;1;1;0
"edgar";1;1;1;0
"big";1;0;1;1
"background";0;1;1;1
"time";1;1;1;0
"tank";1;1;1;0
"steve";0;1;1;1
"steal";0;1;1;1
"star";0;1;1;1
"press";0;1;1;1
"potter";0;1;1;1
"photo";0;1;1;1
"parliament";0;1;1;1
"nikon";0;1;1;1
"natural";0;1;1;1
"money";0;1;1;1
"michelangelo";0;1;1;1
"merkel";0;1;1;1
"mccurry";0;1;1;1
"macron";0;1;1;1
"lazar";0;1;1;1
"invade";1;1;1;0
"impasto";1;0;1;1
"harry";0;1;1;1
"emmanuel";0;1;1;1
"david";0;1;1;1
"creation";0;1;1;1
"cover";1;1;1;0
"closeup";0;1;1;1
"canon";0;1;1;1
"angela";0;1;1;1
"evil";1;0,003;1;1
"*var_1";1;1;1;1
