"";"";"";"";"masterpiece";""
"1";"masterpiece";"0.596426876996817";"-1.32066770828294";"3";"14"
"2";"hildebrandt";"0.596426876996817";"-1.32066770828294";"3";"15"
"3";"bruce";"0.596426876996817";"-1.32066770828294";"3";"18"
"4";"beautiful";"0.596426876996817";"-1.32066770828294";"3";"19"
"5";"communism";"0.5876587623802";"-1.25278040962176";"2.85696507936508";"28"
"6";"armor";"0.5876587623802";"-1.25278040962176";"2.85696507936508";"29"
"7";"guard";"0.110690188893302";"2.26514441997456";"2.8229873015873";"34"
"8";"tree";"0.110690188893302";"2.26514441997456";"2.07767619047619";"45"
"9";"extremely";"0.508745730830647";"-0.641794721671103";"1.67813756613757";"70"
"10";"hybrid";"0.508745730830647";"-0.641794721671103";"1.67813756613757";"73"
"11";"blue";"0.508745730830647";"-0.641794721671103";"1.67813756613757";"75"
"12";"play";"0.510878515467122";"-0.658307848372472";"1.60445502645503";"80"
"13";"cover";"-0.0571720388274864";"2.23363185351312";"1.46";"85"
"14";"emmanuel";"-3.21179192323316";"-0.645507565919701";"1.26750582010582";"106"
