"";"X";"V1"
"1";1;0
"2";2;2
"3";3;6
"4";4;6
"5";5;0
"6";6;6
"7";7;0
"8";8;0
"9";9;5
"10";10;0
"11";11;3
"12";12;0
"13";13;0
"14";14;3
"15";15;1
"16";16;3
"17";17;6
"18";18;0
"19";19;1
"20";20;1
"21";21;0
"22";22;2
"23";23;5
"24";24;0
"25";25;0
"26";26;1
"27";27;0
"28";28;3
"29";29;3
"30";30;5
"31";31;0
"32";32;5
"33";33;3
"34";34;5
"35";35;0
"36";36;5
"37";37;6
"38";38;6
"39";39;1
"40";40;0
"41";41;6
"42";42;0
"43";43;3
"44";44;3
"45";45;3
"46";46;5
"47";47;3
"48";48;0
"49";49;2
"50";50;1
"51";51;0
"52";52;2
"53";53;6
"54";54;3
"55";55;3
"56";56;1
"57";57;2
"58";58;5
"59";59;1
"60";60;0
"61";61;5
"62";62;3
"63";63;5
"64";64;1
"65";65;5
"66";66;3
"67";67;0
"68";68;3
"69";69;2
"70";70;6
"71";71;0
"72";72;6
"73";73;1
"74";74;1
"75";75;0
"76";76;1
"77";77;0
"78";78;0
"79";79;5
"80";80;3
"81";81;0
"82";82;0
"83";83;0
"84";84;6
"85";85;0
"86";86;5
"87";87;1
"88";88;2
"89";89;5
"90";90;0
"91";91;2
"92";92;6
"93";93;2
"94";94;5
"95";95;1
"96";96;2
"97";97;3
"98";98;0
"99";99;1
"100";100;3
"101";101;5
"102";102;0
"103";103;4
"104";104;0
"105";105;4
"106";106;0
"107";107;4
"108";108;0
"109";109;3
"110";110;2
"111";111;3
"112";112;4
"113";113;1
"114";114;0
"115";115;0
"116";116;0
"117";117;5
"118";118;1
"119";119;4
"120";120;4
"121";121;0
"122";122;2
"123";123;1
"124";124;3
"125";125;0
"126";126;0
"127";127;0
"128";128;0
"129";129;6
"130";130;4
"131";131;5
"132";132;1
"133";133;1
"134";134;5
"135";135;0
"136";136;0
"137";137;6
"138";138;5
"139";139;0
"140";140;0
"141";141;2
"142";142;4
"143";143;5
"144";144;0
"145";145;6
"146";146;0
"147";147;0
"148";148;2
"149";149;0
"150";150;5
"151";151;0
"152";152;2
"153";153;0
"154";154;0
"155";155;4
"156";156;1
"157";157;3
"158";158;5
"159";159;0
"160";160;4
"161";161;1
"162";162;2
"163";163;6
"164";164;0
"165";165;0
"166";166;0
"167";167;0
"168";168;3
"169";169;3
"170";170;3
"171";171;6
"172";172;0
"173";173;1
"174";174;0
"175";175;3
"176";176;6
"177";177;5
"178";178;4
"179";179;2
"180";180;0
"181";181;3
"182";182;4
"183";183;0
"184";184;0
"185";185;3
"186";186;5
"187";187;3
"188";188;5
"189";189;3
"190";190;1
"191";191;1
"192";192;0
"193";193;0
"194";194;5
"195";195;0
"196";196;0
"197";197;0
"198";198;0
"199";199;6
"200";200;2
"201";201;0
"202";202;6
"203";203;0
"204";204;2
"205";205;6
"206";206;0
"207";207;4
"208";208;0
"209";209;5
"210";210;0
"211";211;4
"212";212;2
"213";213;1
"214";214;5
"215";215;0
"216";216;3
"217";217;4
"218";218;0
"219";219;1
"220";220;6
"221";221;0
"222";222;0
"223";223;1
"224";224;0
"225";225;2
"226";226;6
"227";227;6
"228";228;0
"229";229;0
"230";230;0
"231";231;0
"232";232;0
"233";233;2
"234";234;0
"235";235;1
"236";236;0
"237";237;1
"238";238;3
"239";239;6
"240";240;0
"241";241;0
"242";242;4
"243";243;0
"244";244;2
"245";245;0
"246";246;1
"247";247;0
"248";248;6
"249";249;0
"250";250;5
"251";251;1
"252";252;0
"253";253;0
"254";254;0
"255";255;3
"256";256;3
"257";257;2
"258";258;5
"259";259;5
"260";260;5
"261";261;0
"262";262;5
"263";263;2
"264";264;3
"265";265;6
"266";266;0
"267";267;6
"268";268;1
"269";269;4
"270";270;4
"271";271;6
"272";272;0
"273";273;3
"274";274;2
"275";275;0
"276";276;3
"277";277;0
"278";278;5
"279";279;3
"280";280;1
"281";281;0
"282";282;2
"283";283;3
"284";284;4
"285";285;5
"286";286;0
"287";287;0
"288";288;0
"289";289;0
"290";290;3
"291";291;4
"292";292;1
"293";293;4
"294";294;0
"295";295;0
"296";296;1
"297";297;0
