"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"european";-0,397698761824235;0,328344292285181;-0,445838647686471;0,0760842713064423;1,40187585871597;-0,254820414347729;0,210382421672712;-0,285665432838103;0,0487500274094924;0,898234094427377;0,181565910431919;0,0935416910982753;0,13115383831669;0,00288461463352293;0,590853945519598;0,00598699252445104;0,00408093033010465;0,00752411913813345;0,000219124031304608;0,0743908210483414;0,0378529941918686;0,820856156248736;0,0255055302881081
"union";-0,256994103753788;0,377036885195426;-0,475774974462671;0,080277372999834;1,48471590965858;-0,158007707847469;0,231813621921668;-0,292520770196568;0,0493569444374193;0,912848015822872;0,0747360017655684;0,121582665414738;0,147226665618027;0,00316549799758914;0,653289169204081;0,00238098828070465;0,00512482000873552;0,00816045037822792;0,000232325694138956;0,0794689845445217;0,0360504706589225;0,826776656095549;0,0246426467117198
"eu";0,508745730830646;-0,641794721671098;0,0530018818754165;0,420482675784794;-0,371399058768729;0,511754784622939;-0,645590713900781;0,0533153695451714;0,422969684350149;-0,373595754836168;0,378044121706832;0,45473005190053;0,00235843145856428;0,112100963570335;0,0527664313637313;0,00393961318175827;0,00626966459485901;4,27596957054889e-05;0,00269121404531757;0,00209958578508445;0,0152213098337673;0,727711955082595;0,00806066821696977
"flag";0,39526336260641;-0,0441097257954845;0,316979396823977;0,213626048851141;1,07806308204631;0,32639532058807;-0,0364243424868225;0,261751028893608;0,176405276322466;0,890228588246494;0,289508224187308;0,00272506546707307;0,107016217918782;0,0367086486204888;0,564041843806346;0,00322291447213087;4,01369506718489e-05;0,0020727061115806;0,00094142141818912;0,0239752975993855;0,0206288804326056;0,646079684049195;0,00861088577779573
"game";0,508745730830647;-0,641794721671099;0,0530018818754165;0,420482675784792;-0,371399058768729;0,51175478462294;-0,645590713900782;0,0533153695451714;0,422969684350147;-0,373595754836167;0,378044121706833;0,454730051900532;0,00235843145856428;0,112100963570334;0,0527664313637312;0,00393961318175828;0,00626966459485904;4,27596957054889e-05;0,00269121404531755;0,00209958578508444;0,0152213098337673;0,727711955082595;0,00806066821696977
"paint";0,0846986621619193;0,361430239516511;-0,283350976159595;-0,0233559559194962;0,683621147509916;0,102263776503916;0,436384947438888;-0,342113324561803;-0,0281995983787868;0,825392969119838;0,0261163516561924;0,359441996910453;0,167999727964799;0,000862038966853597;0,445579884501702;0,000199712999942046;0,00363665585963105;0,00223512934528194;1,51861794694511e-05;0,0130102071684089;0,0278389745643901;0,46094623640133;0,0059149868148417
"detail";0,0806009948619266;0,481158219020765;-0,568382196274802;-0,202475945607468;-0,360281673581588;0,0942158957484227;0,562434157040051;-0,664391771357427;-0,236677631778559;-0,421139474225824;0,0155063930709509;0,417663229332911;0,443211133414994;0,0424765321545942;0,0811427120265502;0,000180856465413537;0,0064450909694856;0,00899361238230748;0,00114130075874219;0,00361357919493415;0,0278389745643901;0,569265657535705;0,00902159243943293
"keyboard";0,508745730830647;-0,641794721671103;0,053001881875414;0,420482675784794;-0,371399058768729;0,511754784622938;-0,645590713900784;0,0533153695451687;0,422969684350148;-0,373595754836166;0,378044121706833;0,454730051900536;0,00235843145856406;0,112100963570335;0,0527664313637312;0,00393961318175828;0,0062696645948591;4,27596957054848e-05;0,00269121404531758;0,00209958578508444;0,0152213098337673;0,727711955082595;0,00806066821696977
"art";0,222692261497181;1,20301379532966;-0,273241280271572;0,351201838528415;-0,517498740343632;0,15895878150803;0,858716893695803;-0,195040908371272;0,250689520778715;-0,369393029842688;0,037855098931784;0,83497945573142;0,0327571796808474;0,040869553496041;0,0535387121599066;0,000864107824909557;0,0252173183822456;0,00130091915887582;0,00214917236742626;0,00466633893939123;0,0174243941518125;1,0066370468723;0,0176564547446051
"artstation";0,362808269049014;0,324697158016461;0,122594356437865;-0,184497415097325;-0,291457883867094;0,595588972020283;0,533025465675938;0,201251881379947;-0,302872440273323;-0,478459605936266;0,512223833548134;0,310086489154274;0,03361600737538;0,0574987227348843;0,0865749471873279;0,00300536786907649;0,00240713396041101;0,000343150188317089;0,000777184010463803;0,00193952284794401;0,0228319647506509;0,445838185365989;0,00453834816312235
