"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"36";"189";"19.05";"****";""
" 0";"114";" 0.00";"-67.595";"artstation";"2.007461e-16"
" 9";"139";" 6.47";"-53.864";"paint";"2.148368e-13"
" 9";"139";" 6.47";"-53.864";"detail";"2.148368e-13"
" 0";"103";" 0.00";"-53.261";"flag";"2.920050e-13"
" 0";" 94";" 0.00";"-44.002";"oil";"3.279606e-11"
" 0";" 94";" 0.00";"-44.002";"highly";"3.279606e-11"
"27";"180";"15.00";"-40.162";"union";"2.336914e-10"
" 0";" 87";" 0.00";"-37.931";"art";"7.329904e-10"
" 0";" 76";" 0.00";"-29.909";"eu";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"game";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"keyboard";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"mouse";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"computer";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"lead";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"sit";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"influencer";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"gloom";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"extremely";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"dark";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"chair";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"hybrid";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"illustration";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"concept";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"shirt";"4.527075e-08"
" 0";" 76";" 0.00";"-29.909";"blue";"4.527075e-08"
" 0";" 74";" 0.00";"-28.616";"play";"8.825649e-08"
" 0";" 67";" 0.00";"-24.422";"rutkowski";"7.736503e-07"
" 0";" 67";" 0.00";"-24.422";"greg";"7.736503e-07"
" 0";" 67";" 0.00";"-24.422";"artgerm";"7.736503e-07"
" 0";" 63";" 0.00";"-22.235";"cinematic";"2.411990e-06"
" 0";" 51";" 0.00";"-16.435";"propaganda";"5.035276e-05"
" 0";" 51";" 0.00";"-16.435";"poster";"5.035276e-05"
" 0";" 40";" 0.00";"-11.938";"villeneuve";"5.498830e-04"
" 0";" 40";" 0.00";"-11.938";"style";"5.498830e-04"
" 0";" 40";" 0.00";"-11.938";"room";"5.498830e-04"
" 0";" 40";" 0.00";"-11.938";"open";"5.498830e-04"
" 0";" 40";" 0.00";"-11.938";"magali";"5.498830e-04"
" 0";" 40";" 0.00";"-11.938";"american";"5.498830e-04"
" 0";" 38";" 0.00";"-11.191";"ussr";"8.218290e-04"
" 0";" 38";" 0.00";"-11.191";"communism";"8.218290e-04"
" 0";" 38";" 0.00";"-11.191";"armor";"8.218290e-04"
" 0";" 38";" 0.00";"-11.191";"suit";"8.218290e-04"
" 0";" 36";" 0.00";"-10.464";"win";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"tim";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"studio";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"rhads";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"render";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"photograph";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"pennington";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"octane";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"masterpiece";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"hildebrandt";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"ghibli";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"composition";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"bruce";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"beautiful";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"award";"1.217453e-03"
" 0";" 36";" 0.00";"-10.464";"digital";"1.217453e-03"
" 0";" 29";" 0.00";" -8.060";"smooth";"4.524584e-03"
" 0";" 29";" 0.00";" -8.060";"mucha";"4.524584e-03"
" 0";" 29";" 0.00";" -8.060";"alphonse";"4.524584e-03"
" 0";" 27";" 0.00";" -7.412";"symmetrical";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"surprise";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"realistic";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"guard";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"discover";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"budapest";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"border";"6.479873e-03"
" 0";" 27";" 0.00";" -7.412";"army";"6.479873e-03"
" 9";" 78";"11.54";" -4.857";"sharp";"2.753820e-02"
" 9";" 78";"11.54";" -4.857";"focus";"2.753820e-02"
" 0";" 18";" 0.00";" -4.681";"tree";"3.049596e-02"
" 0";" 18";" 0.00";" -4.681";"street";"3.049596e-02"
" 0";" 18";" 0.00";" -4.681";"nose";"3.049596e-02"
" 0";" 18";" 0.00";" -4.681";"fight";"3.049596e-02"
" 0";" 18";" 0.00";" -4.681";"big";"3.049596e-02"
" 0";"  9";" 0.00";" -2.224";"time";"1.359220e-01"
" 0";"  9";" 0.00";" -2.224";"tank";"1.359220e-01"
" 0";"  9";" 0.00";" -2.224";"invade";"1.359220e-01"
" 0";"  9";" 0.00";" -2.224";"impasto";"1.359220e-01"
" 0";"  9";" 0.00";" -2.224";"cover";"1.359220e-01"
"*****";"*";"*";"*";"*";"*"
"0";" 67";" 0.00";"-24.422";"with";"7.736503e-07"
"9";"112";" 8.04";"-21.619";"and";"3.324716e-06"
"0";" 40";" 0.00";"-11.938";"in";"5.498830e-04"
"0";" 36";" 0.00";"-10.464";"0";"1.217453e-03"
"0";" 27";" 0.00";" -7.412";"2";"6.479873e-03"
"0";" 27";" 0.00";" -7.412";"to";"6.479873e-03"
"9";" 78";"11.54";" -4.857";"by";"2.753820e-02"
"0";" 18";" 0.00";" -4.681";"behind";"3.049596e-02"
"0";"  9";" 0.00";" -2.224";"an";"1.359220e-01"
"0";"  9";" 0.00";" -2.224";"3";"1.359220e-01"
"0";"  9";" 0.00";" -2.224";"1";"1.359220e-01"
"0";"  9";" 0.00";" -2.224";"for";"1.359220e-01"
"0";"  9";" 0.00";" -2.224";"9";"1.359220e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"27";"189";"14.29";"****";""
"0";"103";"0.00";"-37.727";"flag";"8.138115e-10"
"0";" 94";"0.00";"-31.168";"trend";"2.365836e-08"
"0";" 78";"0.00";"-22.135";"sharp";"2.541160e-06"
"0";" 78";"0.00";"-22.135";"focus";"2.541160e-06"
"0";" 76";"0.00";"-21.186";"eu";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"game";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"keyboard";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"mouse";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"computer";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"lead";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"sit";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"influencer";"4.168326e-06"
"0";" 76";"0.00";"-21.186";"gloom";"4.168326e-06"
