"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"european";0;0;0;0;0;0
"union";-40,162;1,575;2,537;1,181;2,224;1,713
"eu";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"flag";-53,261;-37,727;42,364;-1,291;37,131;0,792
"game";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"paint";-53,864;-0,766;18,251;-11,435;15,997;6,735
"detail";-53,864;11,331;18,251;-65,678;15,997;6,735
"keyboard";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"art";-37,931;5,399;59,486;-20,151;-37,931;40,162
"artstation";-67,595;-9,583;33,38;-35,91;29,257;22,537
"mouse";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"computer";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"lead";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"oil";-44,002;-3,39;51,278;-0,447;44,944;-33,896
"ussr";-11,191;-7,927;-7,208;-5,945;176,712;-8,621
"trend";0,001;-31,168;51,278;-23,376;44,944;-33,896
"sit";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"influencer";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"gloom";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"extremely";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"dark";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"chair";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"play";-28,616;-20,27;66,424;-15,202;69,11;-22,043
"highly";-44,002;31,835;51,278;-23,376;-44,002;25,772
"cinematic";-22,235;-15,75;-25,369;-11,812;88,941;55,071
"hybrid";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"sharp";-4,857;-22,135;72,204;-16,601;-31,25;48,749
"focus";-4,857;-22,135;72,204;-16,601;-31,25;48,749
"illustration";-29,909;-0,62;75,44;-15,889;-29,909;39,861
"concept";-29,909;-0,62;75,44;-15,889;-29,909;39,861
"win";-10,464;-7,412;-11,938;-5,559;189;-8,06
"tim";-10,464;-7,412;-11,938;-5,559;189;-8,06
"studio";-10,464;-7,412;-11,938;-5,559;189;-8,06
"rhads";-10,464;-7,412;-11,938;-5,559;189;-8,06
"render";-10,464;-7,412;-11,938;-5,559;189;-8,06
"photograph";-10,464;-7,412;-11,938;-5,559;189;-8,06
"pennington";-10,464;-7,412;-11,938;-5,559;189;-8,06
"octane";-10,464;-7,412;-11,938;-5,559;189;-8,06
"masterpiece";-10,464;-7,412;-11,938;-5,559;189;-8,06
"hildebrandt";-10,464;-7,412;-11,938;-5,559;189;-8,06
"ghibli";-10,464;-7,412;-11,938;-5,559;189;-8,06
"composition";-10,464;-7,412;-11,938;-5,559;189;-8,06
"bruce";-10,464;-7,412;-11,938;-5,559;189;-8,06
"beautiful";-10,464;-7,412;-11,938;-5,559;189;-8,06
"award";-10,464;-7,412;-11,938;-5,559;189;-8,06
"rutkowski";-24,422;-17,299;92,389;-12,974;-24,422;49,76
"greg";-24,422;-17,299;92,389;-12,974;-24,422;49,76
"artgerm";-24,422;-17,299;92,389;-12,974;-24,422;49,76
"shirt";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"blue";-29,909;-21,186;75,44;-15,889;66,121;-23,04
"communism";-11,191;-7,927;-7,208;-5,945;176,712;-8,621
"armor";-11,191;-7,927;-7,208;-5,945;176,712;-8,621
"propaganda";-16,435;-11,641;137,292;3,021;-16,435;-7,016
"poster";-16,435;-11,641;137,292;3,021;-16,435;-7,016
"suit";-11,191;-7,927;-7,208;-5,945;176,712;-8,621
"digital";-10,464;4,169;-11,938;-5,559;-10,464;121,839
"smooth";-8,06;-5,709;-9,196;-4,282;-8,06;189
"villeneuve";-11,938;-8,456;189;-6,342;-11,938;-9,196
"style";-11,938;-8,456;189;-6,342;-11,938;-9,196
"room";-11,938;-8,456;189;-6,342;-11,938;-9,196
"open";-11,938;-8,456;189;-6,342;-11,938;-9,196
"magali";-11,938;-8,456;189;-6,342;-11,938;-9,196
"american";-11,938;-8,456;189;-6,342;-11,938;-9,196
"light";0,663;-7,927;-12,769;-5,945;-11,191;136,124
"mucha";-8,06;-5,709;-9,196;-4,282;-8,06;189
