"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"2";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"3";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"4";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"5";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"6";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"7";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"8";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"9";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"10";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"11";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"12";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"13";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"14";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"15";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"16";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"17";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"18";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"19";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"20";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"21";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"22";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"23";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"24";2;5;6;9;9;9;9;9;9;9;9;9;9;9
"25";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"26";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"27";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"28";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"29";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"30";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"31";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"32";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"33";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"34";2;5;6;8;11;12;14;17;17;17;23;23;26;26
