"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"36";"189";"19.05";"****";""
"27";"27";"100.00";"133.875";"quality";"5.818591e-31"
"27";"27";"100.00";"133.875";"high";"5.818591e-31"
"18";"18";"100.00";" 84.553";"white";"3.741219e-20"
"18";"18";"100.00";" 84.553";"simplistic";"3.741219e-20"
"18";"18";"100.00";" 84.553";"professionally";"3.741219e-20"
"18";"18";"100.00";" 84.553";"political";"3.741219e-20"
"18";"18";"100.00";" 84.553";"mapporn";"3.741219e-20"
"18";"18";"100.00";" 84.553";"map";"3.741219e-20"
"18";"18";"100.00";" 84.553";"face";"3.741219e-20"
"18";"18";"100.00";" 84.553";"background";"3.741219e-20"
" 9";" 9";"100.00";" 40.163";"steve";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"steal";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"star";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"press";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"potter";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"photo";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"parliament";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"nikon";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"natural";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"money";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"michelangelo";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"merkel";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"mccurry";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"macron";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"lazar";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"harry";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"emmanuel";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"david";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"creation";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"closeup";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"canon";"2.336914e-10"
" 9";" 9";"100.00";" 40.163";"angela";"2.336914e-10"
" 9";"11";" 81.82";" 29.845";"portrait";"4.679255e-08"
" 9";"18";" 50.00";" 12.361";"magazine";"4.383798e-04"
"*****";"*";"*";"*";"*";"*"
"18";" 18";"100.00";"84.553";"a";"3.741219e-20"
"18";" 18";"100.00";"84.553";"r";"3.741219e-20"
"18";" 18";"100.00";"84.553";"make";"3.741219e-20"
"36";" 92";" 39.13";"46.887";"the";"7.518192e-12"
" 9";"  9";"100.00";"40.163";"from";"2.336914e-10"
" 9";"  9";"100.00";"40.163";"instead";"2.336914e-10"
"36";"114";" 31.58";"29.257";"of";"6.338794e-08"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"27";"189";"14.29";"****";""
"27";" 27";"100.00";"189.000";"budapest";"5.255480e-43"
"27";" 27";"100.00";"189.000";"army";"5.255480e-43"
"18";" 18";"100.00";"119.368";"street";"8.697752e-28"
"18";" 18";"100.00";"119.368";"fight";"8.697752e-28"
" 9";"  9";"100.00";" 56.700";"time";"5.076355e-14"
" 9";"  9";"100.00";" 56.700";"tank";"5.076355e-14"
" 9";"  9";"100.00";" 56.700";"invade";"5.076355e-14"
" 9";"  9";"100.00";" 56.700";"cover";"5.076355e-14"
"27";" 94";" 28.72";" 31.835";"highly";"1.678317e-08"
" 9";" 18";" 50.00";" 20.724";"magazine";"5.305570e-06"
"27";"139";" 19.42";" 11.331";"detail";"7.622650e-04"
"18";" 87";" 20.69";"  5.399";"art";"2.014729e-02"
" 9";" 36";" 25.00";"  4.169";"digital";"4.116723e-02"
"*****";"*";"*";"*";"*";"*"
"27";" 27";"100.00";"189.000";"2";"5.255480e-43"
"27";" 36";" 75.00";"133.875";"0";"5.818591e-31"
" 9";"  9";"100.00";" 56.700";"for";"5.076355e-14"
"27";" 92";" 29.35";" 33.212";"the";"8.264082e-09"
"27";"114";" 23.68";" 20.724";"of";"5.305570e-06"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"40";"189";"21.16";"****";""
"40";" 40";"100.00";"189.000";"villeneuve";"5.255480e-43"
"40";" 40";"100.00";"189.000";"style";"5.255480e-43"
"40";" 40";"100.00";"189.000";"room";"5.255480e-43"
"40";" 40";"100.00";"189.000";"open";"5.255480e-43"
"40";" 40";"100.00";"189.000";"magali";"5.255480e-43"
"40";" 40";"100.00";"189.000";"american";"5.255480e-43"
"40";" 51";" 78.43";"137.292";"propaganda";"1.041084e-31"
"40";" 51";" 78.43";"137.292";"poster";"1.041084e-31"
"40";" 67";" 59.70";" 92.389";"rutkowski";"7.120659e-22"
"40";" 67";" 59.70";" 92.389";"greg";"7.120659e-22"
"40";" 67";" 59.70";" 92.389";"artgerm";"7.120659e-22"
"40";" 76";" 52.63";" 75.440";"eu";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"game";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"keyboard";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"mouse";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"computer";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"lead";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"sit";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"influencer";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"gloom";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"extremely";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"dark";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"chair";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"hybrid";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"illustration";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"concept";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"shirt";"3.767243e-18"
"40";" 76";" 52.63";" 75.440";"blue";"3.767243e-18"
"18";" 18";"100.00";" 74.108";"nose";"7.396194e-18"
"18";" 18";"100.00";" 74.108";"big";"7.396194e-18"
"40";" 78";" 51.28";" 72.204";"sharp";"1.940187e-17"
"40";" 78";" 51.28";" 72.204";"focus";"1.940187e-17"
"38";" 74";" 51.35";" 66.424";"play";"3.637203e-16"
"40";" 87";" 45.98";" 59.486";"art";"1.231528e-14"
"40";" 94";" 42.55";" 51.278";"oil";"8.016809e-13"
"40";" 94";" 42.55";" 51.278";"trend";"8.016809e-13"
"40";" 94";" 42.55";" 51.278";"highly";"8.016809e-13"
"40";"103";" 38.83";" 42.364";"flag";"7.577277e-11"
"40";"114";" 35.09";" 33.380";"artstation";"7.578268e-09"
"40";"139";" 28.78";" 18.251";"paint";"1.936069e-05"
"40";"139";" 28.78";" 18.251";"detail";"1.936069e-05"
"40";"180";" 22.22";"  2.537";"union";"1.112120e-01"
"*****";"*";"*";"*";"*";"*"
"40";" 40";"100.00";"189.000";"in";"5.255480e-43"
"40";" 67";" 59.70";" 92.389";"with";"7.120659e-22"
"40";" 78";" 51.28";" 72.204";"by";"1.940187e-17"
"40";"112";" 35.71";" 34.883";"on";"3.502055e-09"
"40";"112";" 35.71";" 34.883";"and";"3.502055e-09"
"40";"114";" 35.09";" 33.380";"of";"7.578268e-09"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"21";"189";"11.11";"****";""
