"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"european";1;1;1;1;1;1
"union";1;0,209;0,111;0,277;0,136;0,191
"eu";1;1;0;1;0;1
"flag";1;1;0;1;0;0,374
"game";1;1;0;1;0;1
"paint";1;1;0;1;0;0,009
"detail";1;0,001;0;1;0;0,009
"keyboard";1;1;0;1;0;1
"art";1;0,02;0;1;1;0
"artstation";1;1;0;1;0;0
"mouse";1;1;0;1;0;1
"computer";1;1;0;1;0;1
"lead";1;1;0;1;0;1
"oil";1;1;0;1;0;1
"ussr";1;1;1;1;0;1
"trend";0,972;1;0;1;0;1
"sit";1;1;0;1;0;1
"influencer";1;1;0;1;0;1
"gloom";1;1;0;1;0;1
"extremely";1;1;0;1;0;1
"dark";1;1;0;1;0;1
"chair";1;1;0;1;0;1
"play";1;1;0;1;0;1
"highly";1;0;0;1;1;0
"cinematic";1;1;1;1;0;0
"hybrid";1;1;0;1;0;1
"sharp";1;1;0;1;1;0
"focus";1;1;0;1;1;0
"illustration";1;1;0;1;1;0
"concept";1;1;0;1;1;0
"win";1;1;1;1;0;1
"tim";1;1;1;1;0;1
"studio";1;1;1;1;0;1
"rhads";1;1;1;1;0;1
"render";1;1;1;1;0;1
"photograph";1;1;1;1;0;1
"pennington";1;1;1;1;0;1
"octane";1;1;1;1;0;1
"masterpiece";1;1;1;1;0;1
"hildebrandt";1;1;1;1;0;1
"ghibli";1;1;1;1;0;1
"composition";1;1;1;1;0;1
"bruce";1;1;1;1;0;1
"beautiful";1;1;1;1;0;1
"award";1;1;1;1;0;1
"rutkowski";1;1;0;1;1;0
"greg";1;1;0;1;1;0
"artgerm";1;1;0;1;1;0
"shirt";1;1;0;1;0;1
"blue";1;1;0;1;0;1
"communism";1;1;1;1;0;1
"armor";1;1;1;1;0;1
"propaganda";1;1;0;0,082;1;1
"poster";1;1;0;0,082;1;1
"suit";1;1;1;1;0;1
"digital";1;0,041;1;1;1;0
"smooth";1;1;1;1;1;0
"villeneuve";1;1;0;1;1;1
"style";1;1;0;1;1;1
"room";1;1;0;1;1;1
"open";1;1;0;1;1;1
"magali";1;1;0;1;1;1
"american";1;1;0;1;1;1
"light";0,415;1;1;1;1;0
"mucha";1;1;1;1;1;0
"alphonse";1;1;1;1;1;0
"symmetrical";1;1;1;1;1;0
"surprise";1;1;1;1;1;0
"realistic";1;1;1;1;1;0
"quality";0;1;1;1;1;1
"high";0;1;1;1;1;1
"guard";1;1;1;1;1;0
"discover";1;1;1;1;1;0
"budapest";1;0;1;1;1;1
"border";1;1;1;1;1;0
"army";1;0;1;1;1;1
"portrait";0;1;1;1;1;0,788
"white";0;1;1;1;1;1
"tree";1;1;1;1;1;0
"street";1;0;1;1;1;1
"simplistic";0;1;1;1;1;1
"professionally";0;1;1;1;1;1
"political";0;1;1;1;1;1
"nose";1;1;0;1;1;1
"mapporn";0;1;1;1;1;1
"map";0;1;1;1;1;1
"magazine";0;0;1;1;1;1
"fight";1;0;1;1;1;1
"face";0;1;1;1;1;1
"big";1;1;0;1;1;1
"background";0;1;1;1;1;1
"time";1;0;1;1;1;1
"tank";1;0;1;1;1;1
"steve";0;1;1;1;1;1
"steal";0;1;1;1;1;1
"star";0;1;1;1;1;1
"press";0;1;1;1;1;1
"potter";0;1;1;1;1;1
"photo";0;1;1;1;1;1
"parliament";0;1;1;1;1;1
"nikon";0;1;1;1;1;1
"natural";0;1;1;1;1;1
"money";0;1;1;1;1;1
"michelangelo";0;1;1;1;1;1
"merkel";0;1;1;1;1;1
"mccurry";0;1;1;1;1;1
"macron";0;1;1;1;1;1
"lazar";0;1;1;1;1;1
"invade";1;0;1;1;1;1
"impasto";1;1;1;0;1;1
"harry";0;1;1;1;1;1
"emmanuel";0;1;1;1;1;1
"david";0;1;1;1;1;1
"creation";0;1;1;1;1;1
"cover";1;0;1;1;1;1
"closeup";0;1;1;1;1;1
"canon";0;1;1;1;1;1
"angela";0;1;1;1;1;1
"evil";1;1;1;0;1;1
"*var_1";1;1;1;1;1;1
