"";"V1"
"1";0
"2";2
"3";6
"4";6
"5";0
"6";6
"7";0
"8";0
"9";5
"10";0
"11";3
"12";0
"13";0
"14";3
"15";1
"16";3
"17";6
"18";0
"19";1
"20";1
"21";0
"22";2
"23";5
"24";0
"25";0
"26";1
"27";0
"28";3
"29";3
"30";5
"31";0
"32";5
"33";3
"34";5
"35";0
"36";5
"37";6
"38";6
"39";1
"40";0
"41";6
"42";0
"43";3
"44";3
"45";3
"46";5
"47";3
"48";0
"49";2
"50";1
"51";0
"52";2
"53";6
"54";3
"55";3
"56";1
"57";2
"58";5
"59";1
"60";0
"61";5
"62";3
"63";5
"64";1
"65";5
"66";3
"67";0
"68";3
"69";2
"70";6
"71";0
"72";6
"73";1
"74";1
"75";0
"76";1
"77";0
"78";0
"79";5
"80";3
"81";0
"82";0
"83";0
"84";6
"85";0
"86";5
"87";1
"88";2
"89";5
"90";0
"91";2
"92";6
"93";2
"94";5
"95";1
"96";2
"97";3
"98";0
"99";1
"100";3
"101";5
"102";0
"103";4
"104";0
"105";4
"106";0
"107";4
"108";0
"109";3
"110";2
"111";3
"112";4
"113";1
"114";0
"115";0
"116";0
"117";5
"118";1
"119";4
"120";4
"121";0
"122";2
"123";1
"124";3
"125";0
"126";0
"127";0
"128";0
"129";6
"130";4
"131";5
"132";1
"133";1
"134";5
"135";0
"136";0
"137";6
"138";5
"139";0
"140";0
"141";2
"142";4
"143";5
"144";0
"145";6
"146";0
"147";0
"148";2
"149";0
"150";5
"151";0
"152";2
"153";0
"154";0
"155";4
"156";1
"157";3
"158";5
"159";0
"160";4
"161";1
"162";2
"163";6
"164";0
"165";0
"166";0
"167";0
"168";3
"169";3
"170";3
"171";6
"172";0
"173";1
"174";0
"175";3
"176";6
"177";5
"178";4
"179";2
"180";0
"181";3
"182";4
"183";0
"184";0
"185";3
"186";5
"187";3
"188";5
"189";3
"190";1
"191";1
"192";0
"193";0
"194";5
"195";0
"196";0
"197";0
"198";0
"199";6
"200";2
"201";0
"202";6
"203";0
"204";2
"205";6
"206";0
"207";4
"208";0
"209";5
"210";0
"211";4
"212";2
"213";1
"214";5
"215";0
"216";3
"217";4
"218";0
"219";1
"220";6
"221";0
"222";0
"223";1
"224";0
"225";2
"226";6
"227";6
"228";0
"229";0
"230";0
"231";0
"232";0
"233";2
"234";0
"235";1
"236";0
"237";1
"238";3
"239";6
"240";0
"241";0
"242";4
"243";0
"244";2
"245";0
"246";1
"247";0
"248";6
"249";0
"250";5
"251";1
"252";0
"253";0
"254";0
"255";3
"256";3
"257";2
"258";5
"259";5
"260";5
"261";0
"262";5
"263";2
"264";3
"265";6
"266";0
"267";6
"268";1
"269";4
"270";4
"271";6
"272";0
"273";3
"274";2
"275";0
"276";3
"277";0
"278";5
"279";3
"280";1
"281";0
"282";2
"283";3
"284";4
"285";5
"286";0
"287";0
"288";0
"289";0
"290";3
"291";4
"292";1
"293";4
"294";0
"295";0
"296";1
"297";0
